中药材	中药材
别名	岩胡椒
中药名	猪胆粉
别名	猪胆汁
中药名	独一味
别名	野秦艽
别名	巴拉努努(藏)
别名	大巴(藏)
别名	打布巴(藏)
中药名	苦玄参
别名	落地小金钱
别名	蛇总管
别名	鱼胆草
别名	四环素草
别名	苦草
别名	苦胆草
别名	地胆草
中药名	板蓝根
别名	北板蓝根
别名	靛青根
别名	蓝靛根
中药名	凤眼草
别名	椿荚
别名	臭椿子
别名	樗荚
别名	凤眼子
别名	樗树凸凸
别名	樗树子
中药名	红药子
别名	红孩儿
别名	朱砂莲
别名	山猪薯
中药名	地榆
别名	马胡枣
别名	绵地榆
别名	黄瓜香
别名	白地榆
别名	西地榆
中药名	山胡椒
别名	山花椒
别名	山龙苍
别名	雷公尖
别名	野胡椒
别名	香叶子
别名	楂子红
别名	臭樟子
中药名	红花龙胆
别名	小龙胆草
别名	土白连
别名	九月花
别名	星秀花
别名	冷风吹
别名	雪里梅
别名	青鱼胆草
中药名	甘草
别名	蜜甘
别名	甜甘草
别名	国老
别名	美草
别名	蜜草
别名	黑根草
别名	灵通
别名	灵通
别名	甜草
别名	粉草
别名	甜根子
别名	棒草
中药名	鼠尾草
别名	紫花丹
别名	坑苏
中药名	太白花
别名	高山石蕊
别名	岭石蕊
别名	雀儿石蕊
中药名	澄茄子
别名	山胡椒
别名	味辣子
别名	山苍子
别名	木姜子
别名	木香子
别名	野胡椒
别名	臭樟子
中药名	豆豉姜
别名	过山香
别名	枪子蔃
别名	满山香
别名	木浆子根
别名	澄茄根
别名	木姜子根
别名	山苍子根
中药名	丹参
别名	赤参
别名	血生根
别名	大红袍
别名	木羊乳
别名	山参
中药名	罗勒
别名	千层塔
别名	九层塔
别名	丁香罗勒
别名	熏草
别名	燕草
别名	蕙草
别名	西王母菜
别名	兰香
别名	香佩兰
别名	省头草
中药名	鸡骨香
别名	黄牛香
别名	过山香
别名	滚地龙
别名	山豆根
别名	驳骨消
别名	鸡脚香
别名	透地龙
别名	木沉香
中药名	岩黄连
别名	岩胡
别名	岩连
别名	菊花黄连
别名	土黄连
中药名	穿山甲
别名	川山甲
别名	山甲
别名	山甲片
别名	麒麟片
别名	钱鲤甲
别名	鲮鲤角
中药名	海芋
别名	野芋头
别名	广东狼毒
别名	天荷
别名	狼毒头
别名	羞天草
别名	隔河仙
别名	观音莲
中药名	粉葛
别名	葛根
别名	甘葛
别名	葛条
中药名	白苏子
别名	荏子
别名	玉苏子
别名	玉竹子
中药名	救必应
别名	白银树皮
别名	白银香
别名	山熊胆
别名	白木香
别名	土千年健
别名	红子儿
别名	白皮冬青
中药名	淫羊藿
别名	仙灵脾
别名	刚前
别名	三枝九叶草
别名	乏力草
别名	铁打杵
别名	三叉骨
别名	九叶草
别名	三角莲
中药名	白芥子
别名	辣菜子
中药名	片姜黄
别名	片子姜黄
中药名	水飞蓟
别名	水飞雉
别名	奶蓟
别名	老鼠勒
中药名	使君子
别名	史君子
别名	留求子
别名	五棱子
别名	山羊屎
别名	冬君子
中药名	青羊参
别名	青阳参
别名	白石参
别名	毒狗药
别名	地藕
别名	小白蔹
别名	白药
别名	白芪
别名	青洋参
别名	闹狗药
别名	牛尾参
别名	牛尾七
中药名	翠云草
别名	蓝地柏
别名	绿绒草
别名	地柏叶
别名	金鸡独立草
别名	翠翎草
别名	矮脚凤毛
别名	孔雀花
别名	翠羽草
别名	神锦花
别名	凤尾草
别名	水松
别名	龙柏草
别名	虱子草
中药名	粉萆薢
别名	川萆薢
别名	黄萆薢
别名	土黄连
别名	黄姜
别名	赤节
别名	土薯蓣
别名	竹木
中药名	雪上一枝蒿
别名	一支蒿
别名	铁棒锤
别名	铁牛七
中药名	鸡眼草
别名	掐不齐
别名	大字草
别名	公母草
别名	人字草
别名	小蓄片
别名	妹子草
别名	红花草
别名	地兰草
别名	细花草
别名	铺地龙
别名	红骨丹
别名	夏闭草
中药名	问荆
别名	连续草
别名	笔头菜
别名	节节草
别名	猪鬃草
别名	公母草
别名	搂接草
别名	空心草
别名	马蜂草
别名	骨节草
别名	土木贼
中药名	马桑根
别名	乌龙须
别名	黑龙须
中药名	白石英
别名	石英
中药名	苦石莲
别名	石莲子
别名	土石莲子
别名	青蛇子
别名	老鸦枕头
别名	猫儿核
别名	广石莲子
别名	苦石莲子
别名	石花生
别名	盐棒头果
中药名	萝芙木
别名	鱼胆木
别名	山马蹄
别名	刀伤药
别名	山辣椒
别名	山胡椒
别名	萝芙藤
别名	假辣椒
别名	羊姆奶
别名	毒狗药
别名	假鱼胆
别名	火烙木
别名	通骨消
别名	羊屎木
别名	甘榕木
别名	三叉虎
别名	地郎伞
别名	十八爪
别名	红果木
别名	百花矮陀
别名	麻三端
中药名	龙葵
别名	苦葵
别名	天茄子
别名	山海椒
别名	苦菜
别名	老鸦眼睛草
别名	天茄苗儿
别名	天天茄
别名	救儿草
别名	后红子
别名	水茄
别名	天泡草
别名	老鸦酸浆草
别名	天泡果
